,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue11,hsa.mir.103a.2,0.253985188,0.943057023,1.28904236,0.847961598,1.453890294,0.846542593,18.82090446,7.27E-05,-0.669038697,0.897115233,-0.33015898,0.688563215,-0.69703582,0.757839126,0.175177616,0.806683686,0.482430851,0.479246666,0.479347435,0.480884657,0.860405794,0.864791493,0.86220076,1
pvalue12,hsa.mir.106a,0.188322481,0.898019979,1.921106787,0.722486975,12.41789544,0.100617373,15.01876167,0.055072054,-1.184049259,0.388662031,-0.529655804,0.610252605,-1.309573242,0.240520889,0.002261147,0.997493135,0.738455548,0.285467967,0.115475946,0.86365485,0.675776512,0.642632535,0.627640867,1
pvalue13,hsa.mir.106b,-0.672789483,0.43574872,7.035433948,0.352210478,0.549337874,0.673039136,18.86731983,3.28E-06,-0.788430677,0.416756986,1.115302535,0.880293884,-0.726499793,0.777111793,1.168649489,0.158794513,1.008776595,0.250646479,1.164265796,0.156075402,0.392569333,0.511709987,0.467248599,1
pvalue14,hsa.mir.107,-0.000816671,0.999751629,-0.172739711,0.972523792,18.26149214,0.010954881,18.14675243,0.03552311,-0.850626356,0.793946717,-1.399878611,0.746243598,-1.885174715,0.566381246,-0.281246788,0.716200413,0.416456867,0.546135575,0.195419038,0.762757573,0.795836554,0.804398925,0.798698349,1
pvalue15,hsa.mir.10a,0.75836172,0.897694081,3.876253666,0.649813577,16.25995125,0.104267178,1.575537619,0.834410408,-1.901414406,0.686737251,-1.183260955,0.637128083,-1.744283799,0.782733123,-0.782121489,0.293025183,0.093447509,0.874024839,-0.723177394,0.328963642,0.45470551,0.476082583,0.453117758,1
pvalue16,hsa.mir.10b,1.660780469,0.839463614,16.43568396,0.143117556,-0.866879091,0.93084762,-3.581049932,0.667573486,-0.862211982,0.38314637,-0.291482113,0.926725791,0.454634661,0.590647905,-0.239938574,0.66941117,-0.440234115,0.502240128,-2.139399604,0.049097897,0.086815725,0.265272851,0.15430043,1
pvalue17,hsa.mir.1180,-0.3327672,0.810483476,-0.119746755,0.945472094,1.231142058,0.848257372,19.76523294,7.24E-14,0.960027014,0.897562597,-0.940845587,0.731653429,-1.052355595,0.679010807,0.048369428,0.953223023,0.23583999,0.757969501,0.794672094,0.245037604,0.548862532,0.537817359,0.52011185,1
pvalue18,hsa.mir.122,1.2499221,0.665077953,14.25102937,0.117889558,13.83137117,0.092392123,-1.229794039,0.753148768,-0.516225685,0.57425011,-0.008948617,0.997408325,1.07123585,0.828984907,0.005241209,0.994425468,0.37331245,0.601222919,-0.220585277,0.784149322,0.836792941,0.832421805,0.828644786,1
pvalue19,hsa.mir.1228,5.793730995,0.410808178,-5.42846913,0.497514716,-4.231147467,0.624868256,-4.136405629,0.703734755,1.400254173,0.741032811,-0.242771598,0.8585968,0.624892959,0.589926219,0.194801057,0.783279744,-0.490251392,0.571753693,0.311158352,0.620292934,0.7507131,0.78321462,0.773384409,1
pvalue20,hsa.mir.1245a,19.3194477,1.79E-10,-18.6393551,0.007192793,-15.71653823,0.00059569,-11.02860483,0.098352855,-0.070625412,0.945671621,-1.69957502,0.671871785,-1.266790632,0.746622292,-1.041454877,0.178832119,-1.614039904,0.017953536,-1.049736344,0.120513438,0.147756952,0.125753763,0.086376327,1
pvalue21,hsa.mir.1247,16.00521409,0.00247697,-14.45499435,0.076424932,-15.98535212,0.007967817,-14.52952129,0.026222706,0.327628162,0.708678412,0.09708715,0.918289246,-0.186830249,0.850456486,-0.00784839,0.989961302,-0.854827106,0.246091085,-0.45827888,0.531303348,0.558878256,0.597316866,0.577539442,1
pvalue22,hsa.mir.1248,-0.709895507,0.901619727,2.799015181,0.651392202,18.40486647,0.04238139,3.734694654,0.702530479,-0.010720808,0.989518039,-0.41870033,0.706269684,-0.771811979,0.463546949,1.511450891,0.166774239,1.333206899,0.216006893,0.892519008,0.448990713,0.368450612,0.488785242,0.438201295,1
pvalue23,hsa.mir.1249,2.902570214,0.726864857,-0.594961391,0.942350253,-3.918331754,0.644357903,16.29771325,0.053041879,-0.18539067,0.862128306,1.315782761,0.738472019,-0.093762268,0.919321814,-0.177442905,0.826979588,-1.247064393,0.222000344,0.071156368,0.9305413,0.314822335,0.433738099,0.382228475,1
pvalue24,hsa.mir.125a,-0.188526399,0.820924081,5.24395372,0.418608672,1.439591683,0.86357396,16.21567805,0.034267998,-2.402716784,0.749942634,0.330128237,0.944498922,-2.62504287,0.734627934,0.08435987,0.902161854,1.162341384,0.09436282,-0.082958879,0.906858556,0.280043136,0.210783142,0.17101495,1
pvalue25,hsa.mir.125b.2,0.862157791,0.905201238,15.50523904,0.10099791,-0.755937887,0.924236966,6.049947449,0.543235843,-0.516684202,0.880965178,1.021863624,0.764377839,-1.100499231,0.865613913,0.170712223,0.794765563,0.210003031,0.759319041,-0.168709655,0.801972081,0.950226921,0.951838951,0.951367378,1
pvalue26,hsa.mir.126,7.960412048,0.313433679,-6.94420289,0.505450283,-8.079341954,0.332763131,6.346359932,0.553388155,0.185000993,0.868598834,-0.303694304,0.821111175,-0.266928867,0.940289655,-0.384401567,0.537938657,-1.265897844,0.123040269,-0.157795536,0.798664434,0.377703922,0.475101118,0.432077025,1
pvalue27,hsa.mir.1266,-1.0658004,0.130333904,1.28765075,0.800863574,20.04037221,0.000480329,19.1699285,0.006716882,0.639882937,0.779990472,-1.06155424,0.201547062,-1.547238658,0.121367729,1.659895405,0.064599654,1.606119558,0.053982762,1.222234305,0.135760414,0.133051173,0.241657202,0.181954413,1
pvalue28,hsa.mir.1270,11.35157268,0.142490699,-9.613626449,0.335979297,-10.32588959,0.334903624,-11.1754097,0.220063844,-0.404634423,0.876107977,-0.727860106,0.784730519,-0.430305205,0.907915943,-0.610691119,0.341250934,-1.108820865,0.151762772,-1.25847243,0.103361893,0.359065534,0.340891272,0.304431302,1
pvalue29,hsa.mir.1271,8.789116638,0.280969644,-4.38498907,0.647413264,-8.899395659,0.288539627,4.159126279,0.677765516,0.156222887,0.950239076,0.566775905,0.540995065,-0.600907832,0.899282722,0.060811238,0.929198437,-0.814949933,0.232296832,-0.500712201,0.439119319,0.545417487,0.557644658,0.539587,1
pvalue30,hsa.mir.1277,16.1469343,0.035802553,-15.80253602,0.062394355,-13.77420347,0.175935407,-11.74386379,0.166146403,0.608902303,0.804446721,1.166744181,0.636381531,-0.232004755,0.946216687,-0.459839692,0.519475793,0.777839702,0.277226627,-0.368410904,0.596235703,0.305484963,0.263838385,0.227007751,1
pvalue31,hsa.mir.128.1,-0.19744309,0.821935991,2.778460005,0.618611818,1.618544846,0.845272496,18.27642175,0.020552339,-2.377168158,0.760788253,-0.393804894,0.722871445,-1.465126265,0.57942142,-0.466762157,0.592615162,0.976167031,0.158085231,0.609844103,0.331460421,0.230789774,0.267003745,0.226322522,1
pvalue32,hsa.mir.1287,4.636493272,0.47688577,-5.267471964,0.432329592,14.28551414,0.137403211,10.06896315,0.331648087,0.483944104,0.746252512,-0.379751192,0.639472432,-1.128941859,0.760245708,-1.571240615,0.04708036,-0.29707699,0.643904837,-0.914681966,0.186192141,0.175661915,0.215372476,0.180559863,1
pvalue33,hsa.mir.129.1,1.484100707,0.831291239,-1.04069447,0.888999658,-0.800331197,0.939793336,-0.790953533,0.940068893,1.209271366,0.832231219,-0.662574896,0.926246501,-21.32518173,0.002599373,-0.230832027,0.716735201,-0.555372017,0.393388812,-1.519018271,0.07998251,0.238210387,0.332686234,0.283186467,1
pvalue34,hsa.mir.1296,19.29864081,7.12E-11,-17.64439653,0.000480795,-19.90242098,2.12E-10,-0.236702948,0.973118801,-0.940899406,0.913598446,0.980522586,0.848687072,-0.570284815,0.868401661,-1.037059098,0.132759445,-1.301221605,0.085642784,-0.430277527,0.496929512,0.261636428,0.268885784,0.234428702,1
pvalue35,hsa.mir.1301,-0.216183117,0.947743444,-0.442464814,0.89513863,17.96605669,0.030657426,17.78309097,0.077840028,1.537438216,0.872514279,-0.665228591,0.469972371,-1.61316667,0.780375012,0.106677147,0.898758758,0.956238799,0.170069814,0.19870981,0.78866603,0.431911164,0.403511349,0.37648832,1
pvalue36,hsa.mir.1306,1.304660913,0.865169241,-0.113817758,0.989511771,-0.887612607,0.912847218,17.6665844,0.080585676,-0.817696097,0.836469426,0.255792853,0.96762316,-0.841382214,0.850780533,-0.700538709,0.366873761,-0.322871312,0.639851543,-0.275755501,0.677821489,0.837297514,0.844468725,0.840149781,1
pvalue37,hsa.mir.1307,0.484270226,0.904936678,1.215773255,0.886540229,0.552857127,0.94763498,6.83165908,0.402416801,0.765549439,0.8128397,-0.218244505,0.93359698,-0.78396519,0.858516057,1.096096995,0.098867484,0.053731526,0.944048055,0.001212145,0.998636158,0.28924948,0.241830579,0.202893546,1
pvalue38,hsa.mir.130a,1.482417297,0.849047012,-0.470419165,0.955738073,0.661497638,0.951782346,9.654218002,0.36373345,-1.409784853,0.680089912,0.147480543,0.863030218,-1.175820326,0.886279053,-1.270640075,0.123939009,0.367723068,0.537386293,-0.46845936,0.471081749,0.148962771,0.210204836,0.159709368,1
pvalue39,hsa.mir.132,0.413828804,0.927501581,-0.678167336,0.904414482,0.349825828,0.965611731,17.70779559,0.005336591,-1.383254162,0.859762871,0.138301165,0.879863784,-1.247341385,0.731678441,-1.292657563,0.148968073,0.107192848,0.870348003,-0.089015858,0.894257321,0.258907762,0.390252517,0.333312293,1
pvalue40,hsa.mir.133a.1,1.358865222,0.831369192,-0.100749763,0.991761863,2.472921077,0.795986497,6.997796722,0.444038179,-0.225912638,0.809113019,-1.068124395,0.782317723,-1.805585293,0.7553718,-0.246392598,0.693148283,-0.592326167,0.43992643,-0.995437846,0.199097405,0.547332001,0.579426459,0.559383626,1
pvalue41,hsa.mir.133a.2,0.732796231,0.898302521,2.35434513,0.805381893,2.77509154,0.736080044,8.642485287,0.403119798,-0.475280597,0.580237003,-1.412035916,0.035871579,-1.295423456,0.806214735,0.325523189,0.61025555,-0.604925787,0.492536199,-0.260807368,0.713836855,0.596370724,0.618173757,0.60145651,1
pvalue42,hsa.mir.135b,2.903866813,0.626323098,-1.740694031,0.847369352,-3.358485706,0.585557666,7.294416276,0.459972324,0.358400182,0.77255166,2.734284195,0.658132465,0.687399589,0.609004066,0.020357597,0.977065822,0.215329951,0.779096393,0.676693093,0.302383786,0.705809314,0.689744543,0.678739283,1
pvalue43,hsa.mir.139,18.94870817,0.006457624,-17.89357485,0.029627475,-7.107753904,0.483474854,-19.59067434,0.005439615,-0.438391278,0.923419012,-0.60946294,0.839906379,2.102124425,0.811152959,-0.828095515,0.232857917,-0.472815222,0.431099764,-0.598637417,0.402525665,0.629657459,0.626742588,0.612203488,1
pvalue44,hsa.mir.140,1.668580733,0.840929195,-1.623147718,0.871721056,-1.50976001,0.873631785,11.37913191,0.289100442,0.303186535,0.960126918,0.389552597,0.941434185,-1.314662196,0.833510881,-0.505700376,0.469194728,-0.369432105,0.561165101,-0.636643731,0.310280585,0.753846231,0.748907875,0.741698418,1
pvalue45,hsa.mir.142,13.49533523,0.053985519,-4.155533058,0.704264928,-11.96980967,0.258762058,-14.74809546,0.042228366,-0.353356657,0.929135492,0.831070576,0.72912347,3.875031615,0.694778813,-0.164668698,0.797456419,0.236471389,0.701867804,-0.914828978,0.27497395,0.497022154,0.566996597,0.537210531,1
pvalue46,hsa.mir.143,0.2880421,0.668455684,4.340701331,0.577977852,2.66134325,0.626274501,18.49779555,0.003066066,-1.691608275,0.735224622,-1.811250018,0.720878969,-1.368456747,0.569108459,-0.202832081,0.764832131,-0.390268222,0.596672264,0.203990947,0.736978343,0.845864287,0.848105759,0.844706071,1
pvalue47,hsa.mir.145,1.631140129,0.835167982,-1.71692247,0.8387181,13.95269064,0.171863202,7.078043158,0.535260138,0.087318805,0.906446167,-1.089072688,0.777524194,-2.12646628,0.716430762,-0.751506766,0.241034095,-0.330341831,0.605146938,-0.989771249,0.153826538,0.444556088,0.45472528,0.430156474,1
pvalue48,hsa.mir.1468,18.0338817,0.014057777,-17.67987272,0.01892222,-17.8626826,0.043554125,-16.25646215,0.067600699,1.164177957,0.226992999,1.241587643,0.208777596,0.264659433,0.922890052,-0.074183209,0.909833936,-0.210237669,0.746202933,-0.124634551,0.849257373,0.990422329,0.990509643,0.990475644,1
pvalue49,hsa.mir.146b,14.46301732,0.038761656,-13.04839411,0.240052731,-14.87634516,0.037936413,-1.650900534,0.863856401,1.136161988,0.141518982,0.866802164,0.868466766,-0.143243704,0.978500101,0.491655308,0.420077257,-0.801372573,0.28222428,-0.077369867,0.911908613,0.321546981,0.358993412,0.323104376,1
pvalue50,hsa.mir.148a,5.081433355,0.481276165,-4.302706264,0.697543428,8.909236551,0.390734259,-4.734124514,0.558643572,1.121175556,0.81323687,-0.536104,0.86168745,0.873836495,0.856751635,0.167610395,0.796353905,-0.338546508,0.618215396,-0.110133968,0.869938528,0.895779394,0.898567014,0.896695756,1
pvalue51,hsa.mir.148b,-0.35099307,0.808233224,0.862016087,0.837588633,4.758184171,0.505902838,18.44285959,0.019521413,1.006715285,0.810085974,-1.797463846,0.830743644,-1.523248314,0.807454513,1.045326007,0.159435828,0.2245629,0.786227167,0.721087304,0.297749349,0.447558484,0.464241565,0.439054855,1
pvalue52,hsa.mir.149,6.606959069,0.366129567,-6.475549316,0.4685031,-5.567589778,0.584176961,0.13083087,0.989800011,1.520243038,0.823248219,0.144988565,0.967375452,0.145299653,0.965852626,0.053062353,0.937140652,-0.3146907,0.640314939,0.092763576,0.890886219,0.933232116,0.937919166,0.936993046,1
pvalue53,hsa.mir.151a,-0.677493698,0.394768564,0.2980424,0.906332081,19.93729207,0.0002597,19.73857922,0.010924715,-0.144005961,0.98128111,-1.162869664,0.866946006,-1.76425572,0.782752718,0.157385211,0.849415321,1.23443195,0.083264409,0.71437636,0.321557425,0.263555431,0.26423093,0.228950776,1
pvalue54,hsa.mir.151b,18.0824742,0.008309625,-17.825626,0.008712287,-6.971212696,0.427050605,-10.01627895,0.23494055,-0.736517536,0.882626566,-2.093205317,0.731515885,-1.432474831,0.793405643,-1.750845622,0.018207066,-1.845675882,0.016725353,-1.368887933,0.053582623,0.114831939,0.067939613,0.032899396,1
pvalue55,hsa.mir.152,4.858894036,0.481538005,-4.111804515,0.688856806,-4.841190259,0.538759713,13.05572475,0.178485406,0.79221694,0.800801189,1.063931127,0.414090172,-0.124485874,0.968930762,-0.08122853,0.905566076,-0.26855141,0.68960911,-0.01240848,0.984625102,0.977453628,0.978520237,0.978368339,1
pvalue56,hsa.mir.153.2,0.950466133,0.851835276,13.44673804,0.133819952,-1.010770527,0.858895856,1.775387517,0.843295244,-0.586970824,0.85926944,1.237648058,0.861306038,0.387285897,0.869307573,0.092698719,0.883684375,0.17150091,0.800748434,0.699883064,0.326419981,0.800166537,0.781182191,0.77367645,1
pvalue57,hsa.mir.155,18.01388139,0.00412802,-17.49932594,0.010100797,-6.117891743,0.521570635,-18.68505235,0.003356033,1.232918665,0.788270514,-1.003801926,0.833044288,2.477120157,0.778522131,-0.311644251,0.617588965,-0.772477276,0.239168132,-0.531120394,0.454118981,0.674163898,0.67731879,0.66597053,1
pvalue58,hsa.mir.15a,0.542836447,0.885869126,0.291980253,0.966260442,3.618227564,0.606423653,11.33620978,0.172546473,0.143243919,0.970748374,-0.322294898,0.786367528,-1.586112912,0.839571027,0.309064178,0.63411517,0.497380429,0.457315334,-0.401912734,0.585457623,0.634365778,0.659369973,0.645143904,1
pvalue59,hsa.mir.15b,-0.368104748,0.620714152,-0.100996405,0.942978961,2.314014897,0.784873799,17.29679478,0.046961709,-0.497101383,0.922878931,-0.673637375,0.91796278,-3.042546055,0.747014899,-0.237212091,0.77179359,0.857061843,0.221585083,-0.174579775,0.813553622,0.281873617,0.241773673,0.210985047,1
pvalue60,hsa.mir.16.2,0.186588294,0.852407768,17.83065321,0.018192757,0.094719705,0.94720502,10.98505367,0.136294061,-1.424362037,0.785479054,0.142791412,0.948543121,-3.258323231,0.735065465,0.661604174,0.325808634,0.293067873,0.67353245,-0.687401425,0.371399069,0.257354199,0.305882419,0.265134438,1
pvalue61,hsa.mir.17,-0.616957425,0.29651679,0.744847486,0.881911361,19.65194285,0.001740418,19.64502496,0.005974997,0.081970675,0.988893209,-1.156819847,0.780980232,-2.127834872,0.767924087,0.892048361,0.253407078,1.339686353,0.06602065,0.589043213,0.423351096,0.282604961,0.305577686,0.269430685,1
pvalue62,hsa.mir.181a.2,-0.54184633,0.498130544,0.580327153,0.816380268,5.872818223,0.417599462,19.92025261,2.97E-12,0.533551241,0.926304669,-1.790342802,0.642221855,-1.028837527,0.795351323,0.655870411,0.394468397,0.341398997,0.657414024,1.060127141,0.125707802,0.416293912,0.428110243,0.400360344,1
pvalue63,hsa.mir.181c,1.169984223,0.86882175,-1.324855698,0.86457651,-0.255383072,0.976822989,16.79924791,0.081445543,1.059905648,0.874568151,0.350941213,0.889874927,-0.346268918,0.9498951,-0.140182275,0.836840607,0.180471364,0.790571298,0.258017871,0.685178849,0.937252251,0.937800181,0.937104515,1
pvalue64,hsa.mir.182,-0.084233581,0.939525847,1.10782452,0.870930389,0.334177579,0.930734723,18.10009918,0.017303137,-0.919491931,0.879847784,-0.788000991,0.891790832,-2.091441585,0.774582228,0.230723336,0.745302955,-0.153764623,0.830792029,0.003309915,0.995968319,0.962664683,0.961695679,0.961307914,1
pvalue65,hsa.mir.184,0.147264047,0.95294045,18.01276558,0.013294736,4.361719498,0.460748403,1.240945502,0.855233298,-1.497256046,0.758267641,-2.028227014,0.66253234,-1.348928093,0.782376507,0.332591258,0.620849052,-0.33302963,0.642809935,0.003844352,0.995494875,0.813289292,0.813171679,0.808297024,1
pvalue66,hsa.mir.185,0.873338253,0.88124467,-1.969181477,0.743149613,0.764150713,0.931046429,17.10595647,0.052074241,1.912538465,0.801390325,0.943065325,0.481533639,-0.997601417,0.903901872,-0.960621557,0.266112654,0.894312114,0.169191844,-0.253709278,0.699068005,0.116135095,0.123682811,0.085544731,1
pvalue67,hsa.mir.186,0.458885477,0.926568039,0.644675032,0.925043817,2.23364502,0.780959079,15.77088488,0.018335176,0.740432265,0.411900597,-1.204009654,0.706917167,-1.374520306,0.658262968,0.748751773,0.259417356,-0.103607594,0.886113821,-0.123607869,0.861381488,0.491617983,0.448425985,0.422834055,1
pvalue68,hsa.mir.187,0.557983193,0.918632761,0.543284891,0.946880797,7.392628062,0.367948152,5.726904343,0.512490327,0.00491264,0.999161564,-2.885689626,0.73816846,-1.49670804,0.782526877,0.485650271,0.464858523,-1.02356607,0.240274693,-0.15870144,0.822482144,0.235243327,0.296737447,0.251009111,1
pvalue69,hsa.mir.188,5.108049692,0.445480819,-4.20964071,0.624618931,-4.034920683,0.656126722,4.770559812,0.67910607,1.061474391,0.689985899,2.302946442,0.371695041,-0.078078321,0.976866713,0.406150894,0.6167205,1.148855181,0.192577088,0.134073995,0.874205627,0.48808331,0.43626022,0.405431368,1
pvalue70,hsa.mir.18a,-0.529309849,0.800923652,4.235171125,0.537587999,1.305151623,0.826390785,19.71884491,6.65E-07,-0.763486222,0.490780024,0.429278064,0.917889373,-0.33052444,0.661470689,0.811228372,0.337708438,1.262055199,0.140738721,1.280299335,0.118778063,0.317657401,0.404988064,0.361137783,1
pvalue71,hsa.mir.190a,16.54995666,0.012573867,-16.0404775,0.021029399,-17.27742362,0.022419027,-1.645882781,0.873999928,1.389990803,0.690914997,1.240346129,0.842962298,-0.468401138,0.859981774,-0.161399121,0.794622482,-0.836793279,0.319861609,-0.342334722,0.593647433,0.75297964,0.781428794,0.771933504,1
pvalue72,hsa.mir.191,0.334410427,0.940538569,0.813896479,0.924796199,-0.709813456,0.889948541,17.64274522,0.048720005,0.590860488,0.896603471,0.152392344,0.977553488,-1.760189633,0.805419205,0.834526177,0.210443188,-0.468125593,0.530969674,-0.102794067,0.87361704,0.367655219,0.34101226,0.304635086,1
pvalue73,hsa.mir.192,0.249237146,0.923921664,-0.041983692,0.993106352,0.718369062,0.929910401,12.49051662,0.147024251,0.116632695,0.869050355,-1.213395385,0.790146047,-1.257655898,0.777574454,-0.03921971,0.95594415,-0.407706946,0.595177397,0.095101664,0.883825228,0.905911261,0.914942044,0.913094118,1
pvalue74,hsa.mir.193a,10.79124157,0.184021825,-11.22694569,0.172589259,-10.30681171,0.219687044,7.272025925,0.313365643,2.291834859,0.77091642,2.271994153,0.686899645,-0.617051859,0.952396311,-0.683611707,0.364175182,0.171411665,0.788501541,-0.368895533,0.568954153,0.646449446,0.661879341,0.648736836,1
pvalue75,hsa.mir.193b,0.753454356,0.905622553,-0.271267308,0.972493492,-0.206835227,0.981568913,12.10689913,0.211946995,0.801098991,0.902855696,1.955211108,0.792454549,-0.032395418,0.996215891,0.413800332,0.564362132,1.086024647,0.119064981,0.533480781,0.431042129,0.481170861,0.471020934,0.447139183,1
pvalue76,hsa.mir.195,1.090211132,0.82700229,2.843149947,0.701622208,-1.749267675,0.727973219,13.52851817,0.127350223,-0.185586291,0.950803681,1.79856932,0.852020832,-1.335301693,0.877022969,0.290050442,0.647918409,-0.446165251,0.533819926,-0.439580479,0.497479761,0.668997812,0.670198013,0.659129323,1
pvalue77,hsa.mir.196a.1,20.37330356,0,-20.15835969,0.000228659,-16.72955748,0.007935741,-7.677469,0.31424035,-2.75302815,0.790429069,-1.501551238,0.030188548,-1.137924867,0.158563093,-3.452936465,0.002817527,-1.533477138,0.029368156,-1.133893004,0.074990748,0.00176486,0.014074393,0.001767055,1
pvalue78,hsa.mir.196b,1.363038045,0.867077313,2.410731973,0.810893543,-2.463292241,0.780927969,15.87681855,0.176036855,-0.461115517,0.921742396,1.407837939,0.817826534,-1.291135753,0.832822836,0.061785708,0.921254684,-1.118990644,0.175611967,-0.511585148,0.402301823,0.389500822,0.446636151,0.413580446,1
pvalue79,hsa.mir.197,3.934929659,0.50546932,-5.031597706,0.403946381,-1.789224471,0.847133522,15.21903307,0.020811718,2.512810775,0.800589644,0.96620703,0.842330598,0.166208992,0.965193996,-1.0373922,0.220206023,0.661545395,0.315241797,0.182008928,0.771923906,0.19279227,0.27180684,0.221652619,1
pvalue80,hsa.mir.1976,11.80538487,0.077138379,-11.55560236,0.164965762,-10.36920959,0.248939638,-10.79119131,0.203915966,2.311314227,0.628628877,0.466013486,0.842685903,0.556872862,0.904733775,0.249681526,0.728676953,0.135204234,0.840942085,0.052375815,0.941085042,0.987199543,0.986993755,0.986937146,1
pvalue81,hsa.mir.199b,0.723657046,0.880053144,4.089478863,0.613384327,4.226950301,0.6715374,7.40008442,0.447681117,-1.348649886,0.682381846,-0.436372332,0.519598504,-1.213864118,0.787671913,-0.491929289,0.508717119,0.407931146,0.509135325,-0.149435574,0.824575285,0.614548582,0.617493548,0.600877728,1
pvalue82,hsa.mir.19a,0.941966197,0.883209468,-0.704829762,0.925597821,2.769361994,0.772885388,15.85861529,0.069553498,0.112225298,0.977743205,-0.50435176,0.877733187,-0.818307796,0.884792445,-0.218047141,0.749167913,0.098854419,0.885639593,-0.034474271,0.956881787,0.975576,0.976283325,0.976108635,1
pvalue83,hsa.mir.19b.1,0.016049422,0.996036243,2.548109381,0.728278842,1.429869534,0.791552048,19.11738461,0.000523356,-1.089618664,0.30232158,-1.170330358,0.841214033,-1.083542682,0.202712933,0.332817345,0.624411491,0.015163783,0.984473204,0.470366054,0.469014547,0.862242152,0.864320418,0.861747084,1
pvalue84,hsa.mir.200a,-0.536677449,0.599691122,2.464448298,0.782119582,2.898710504,0.716313816,13.45703439,0.037887487,0.175678363,0.876219816,-0.825633507,0.823280434,-1.792986839,0.790369334,1.276897306,0.070807508,0.830840838,0.256985904,0.252152852,0.75988573,0.220468987,0.234533148,0.200209492,1
pvalue85,hsa.mir.200c,0.143779047,0.978627298,1.270871642,0.895923335,4.164482267,0.668515882,13.99654279,0.105154622,1.071015648,0.841807571,0.158613384,0.970921066,-0.121363506,0.9838626,1.369813091,0.056910459,0.963449796,0.195336598,0.79113117,0.306896808,0.247937378,0.301416584,0.259012625,1
pvalue86,hsa.mir.203a,0.164299518,0.971555387,20.02758006,0.00396972,2.980567007,0.686435436,7.555629432,0.422359059,1.44863808,0.87268919,-0.81101162,0.918752585,0.102017535,0.991861954,2.253154126,0.002367258,-0.019599917,0.983090245,1.010521363,0.169453037,0.003224261,0.004819406,0.000649066,1
pvalue87,hsa.mir.203b,1.147204653,0.850132302,-0.522125129,0.935471016,16.85459236,0.0425531,-1.409353112,0.817445872,-0.485795442,0.871005597,-0.467606849,0.898522255,1.030408513,0.809357314,-0.50814518,0.45533909,0.194420303,0.748883593,-0.082764018,0.912573791,0.743288559,0.759517006,0.751408535,1
pvalue88,hsa.mir.204,8.419205812,0.306641615,-7.314285426,0.489849542,10.45636434,0.258587083,-8.935155632,0.304658488,0.651542461,0.445975195,-0.065309753,0.947017148,-0.824556364,0.438016087,-0.075811299,0.902007741,0.000211202,0.99971382,-1.932479899,0.073870926,0.10831666,0.32757306,0.202259436,1
pvalue89,hsa.mir.20a,-0.553937149,0.472042676,2.700334264,0.586341164,1.636182264,0.831922891,19.85716722,1.59E-06,-2.070425314,0.724983046,-0.14039627,0.972329733,-1.321956465,0.738620738,0.098543454,0.904712322,1.259195233,0.094452519,0.931099322,0.180591106,0.217763448,0.240924773,0.206319668,1
pvalue90,hsa.mir.20b,10.23711982,0.175824071,-10.72243491,0.155559876,-5.095379281,0.656615727,-3.474116306,0.711805733,1.62153949,0.759633317,0.342242227,0.951517048,-0.019181295,0.994694682,-0.394828788,0.594610868,0.386113721,0.535609822,-0.077667725,0.909139444,0.723026552,0.725615829,0.71595595,1
pvalue91,hsa.mir.21,1.604849817,0.725791993,-2.06826062,0.658297897,-0.491445866,0.946561668,16.27865507,0.027302183,2.337153851,0.734573489,1.734305914,0.539053783,-0.333860277,0.953412341,-0.065170794,0.933834782,0.816986133,0.20784203,0.049870883,0.941696699,0.506938461,0.464548881,0.439768486,1
pvalue92,hsa.mir.210,-0.502543348,0.839302294,1.466389265,0.821370966,12.3128308,0.119351019,7.884305656,0.321383566,-2.397816611,0.810840938,-3.184630791,0.766460503,-2.20800488,0.814379466,-0.01300735,0.985955997,-0.062789153,0.935461983,0.673617777,0.346469969,0.636668061,0.608719997,0.592667981,1
pvalue93,hsa.mir.2110,-0.071520427,0.965960344,1.146326655,0.875369062,14.08177774,0.062031384,16.68658147,0.025856597,0.858199946,0.757743725,0.55962305,0.845120822,0.220684881,0.938929824,1.233003168,0.097958572,1.471782322,0.119426963,1.204569209,0.082392572,0.194156256,0.285186552,0.238544762,1
pvalue94,hsa.mir.2116,0.49724473,0.852518695,0.044244712,0.995645502,6.376267494,0.438489907,3.525270202,0.575874483,-0.284407547,0.973731961,0.510810175,0.533234991,0.127171956,0.849250012,-0.305572848,0.803734391,1.097956026,0.165783967,0.691611557,0.397645546,0.290949071,0.358641289,0.314038676,1
pvalue95,hsa.mir.215,0.569215203,0.862079031,-0.405346185,0.942388699,13.81730877,0.073296083,6.233699627,0.422306202,0.16472876,0.833070056,-1.744717102,0.486182782,-2.283210133,0.621623054,-0.325967231,0.63466645,-0.220473201,0.732319953,-0.733608435,0.280736712,0.740786646,0.752909135,0.744782513,1
pvalue96,hsa.mir.217,0.301201393,0.864390821,9.711728195,0.161116622,0.596519909,0.930591894,-0.092485674,0.984222885,-1.898954587,0.653384889,-2.629923843,0.726116548,-0.458976929,0.892486351,-0.291939861,0.650416342,-1.212994978,0.11879566,-0.514177513,0.457552608,0.415992215,0.471816351,0.442343834,1
