,gene,intercept,interceptpvalue,cure1,curepvalue1,cure2,curepvalue2,cure3,curepvalue3,survival1,survivalpvalue1,survival2,survivalpvalue2,survival3,survivalpvalue3,cox1,coxpvalue1,cox2,coxpvalue2,cox3,coxpvalue3,logtest,waldtest,scoretest,flag
pvalue,hsa.let.7a.3,-0.693671825,0.78829505,0.558370494,0.83519708,0.549570822,0.906762563,0.999552003,0.707235692,20.45530891,0,20.74296817,1.40E-10,20.7777917,3.34E-11,1.543558815,0.167937,1.636376407,0.143716215,1.934450321,0.073448676,0.172854507,0.35654793,0.253198025,1
pvalue1,hsa.let.7b,-1.491752324,0.014921211,1.133693039,0.63804387,1.278101856,0.654187495,1.806835978,0.599745664,-2.389447333,0.804050735,-0.556812302,0.920133413,-0.974498707,0.804265214,0.27006572,0.769593107,0.924204793,0.287045712,1.000164401,0.221086759,0.490296472,0.527613382,0.501867353,1
pvalue2,hsa.let.7c,1.099173842,0.794948322,-0.987789147,0.849960382,-1.157698273,0.793861243,-1.895949765,0.66965025,-0.066823985,0.995201692,1.83462034,0.670959406,0.641878687,0.924856538,0.016233453,0.983498856,0.423139411,0.569552168,-0.485512184,0.555480838,0.658286408,0.669485006,0.65383243,1
pvalue3,hsa.let.7d,-1.683071506,0.01353053,2.383429287,0.584718608,1.563817329,0.596594993,1.725802174,0.499851145,-2.016558896,0.843981427,-1.315967161,0.879577321,-1.7389163,0.843499053,1.184267984,0.157303264,0.952122421,0.272950329,0.836246735,0.337607304,0.486165076,0.56508667,0.529502236,1
pvalue4,hsa.let.7e,-0.932999778,0.595516571,0.783125952,0.826538535,1.195339676,0.81304875,1.039687535,0.756355807,1.586090243,0.844958706,1.194063141,0.890363917,1.674848606,0.843201571,1.111941629,0.228336235,1.174735932,0.161555211,1.311287291,0.11874751,0.33692237,0.455496776,0.401737663,1
pvalue5,hsa.let.7g,0.277944617,0.927633687,-0.520366597,0.882575772,-0.051265332,0.989284343,-0.782994331,0.825392576,2.113491555,0.821094308,2.186488104,0.803969397,1.855121567,0.834657283,0.792681093,0.362266285,1.050425374,0.19980049,0.446281981,0.625216788,0.555754112,0.591915163,0.56846709,1
pvalue6,hsa.let.7i,0.530398083,0.918481146,-1.333282826,0.811267895,0.466306042,0.954258928,-2.487829802,0.623180253,1.319759641,0.25046555,0.702554982,0.620850332,0.342725837,0.765563918,-0.411716044,0.574297224,0.447285496,0.46792289,-1.782317421,0.104313785,0.076450701,0.184603786,0.101358527,1
pvalue7,hsa.mir.100,-0.851246994,0.258141682,1.369022111,0.814539058,0.372782665,0.70021691,0.877583201,0.606857887,0.827353559,0.941455264,3.840611692,0.698483047,1.685918753,0.797086204,0.944083856,0.279604704,1.370360597,0.114873095,1.093692634,0.19395634,0.371229035,0.46081416,0.41330395,1
pvalue8,hsa.mir.106a,-0.310294423,0.678050823,-0.081191442,0.976975922,-0.190918198,0.926966632,0.633520846,0.803291645,-1.88268132,0.693662069,-0.442072296,0.971297376,-1.019326026,0.263376812,-0.817964731,0.286170992,-0.293109816,0.701932109,-0.057994094,0.931218639,0.672041177,0.706938332,0.692637079,1
pvalue9,hsa.mir.106b,-1.129722968,0.112279117,1.079925265,0.693048998,8.949141574,0.18369027,0.672060789,0.641976988,-0.164249791,0.977728977,-1.099396032,0.86510189,-0.782562187,0.830211399,0.805238446,0.336750123,1.17863761,0.163520489,0.192354661,0.834439777,0.388382758,0.404383699,0.370486181,1
pvalue10,hsa.mir.107,-2.042802751,0.000885783,3.451729336,0.655372537,0.514769968,0.560751873,2.606638792,0.586488751,-1.274866918,0.679892611,-0.491230726,0.878844249,-1.159523398,0.779637142,1.732869886,0.10543837,0.116111269,0.924743599,1.385238092,0.207951535,0.068303164,0.121679657,0.072095048,1
pvalue11,hsa.mir.10b,0.412055764,0.865837019,-1.292720188,0.59616643,-0.993608643,0.704228816,-0.637972383,0.825336252,3.063585255,0.824533684,2.514973243,0.834716283,1.463828006,0.832677322,0.081168852,0.915566397,0.372739999,0.600441618,0.143749539,0.839060978,0.962103887,0.960518116,0.960070558,1
